claim_id,claim,organisation,year,corpus_evidence_exists,diagnostic_finding
FACTURK-0002,Çeşitli Kodlarla Telefonunuzun Dinlenip Dinlenmediğinin Takibe Alınıp Alınmadığının Öğrenilebileceği,Malumatfuruş,2021,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0031,Bandırma 17 Eylül Üniversitesi'nin Mezuniyet Törenlerinde Topuklu Ayakkabı Giyilmesini Yasakladığı,Malumatfuruş,2024,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0057,görselde yer alan tablonun Jeffrey Epstein’in 1999 Gölcük Depremi öncesinde İstanbul’a geldiğini gösteren uçuş kayıtları olduğu,Doğruluk Payı,2026,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0063,"Linus Pauling, hemoglobin molekülünün değişiminden kaynaklandığı Orak hücre kansızlığının sebebi tespit etti",Yalansavar,2015,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0072,Görselde yer alan COVID-19 aşılarının etkinlik oranlarının olduğu,Doğruluk Payı,2021,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0077,"Fotoğraf, Atatürk’ün Selanik'te 1902’de çekilmiş bir fotoğrafıdır",Doğruluk Payı,2021,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0082,Fotoğraftaki Kişinin Taliban Tarafından Atanan Afganistan'ın Yeni Merkez Bankası Başkanı Olduğu,Malumatfuruş,2021,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0107,2015'te Miss Grand International Beauty Contest yarışmasında Ukrayna’yı temsil eden Anastasiia Lenna’nın Ukrayna ordusuna katıldığı,Doğruluk Payı,2022,False,İddia 2022 yılına ait güncel bir olaydır; korpus zaman aralığının dışındadır.
FACTURK-0108,Videonun iki Türk’ün ABD’de mahkemeye çıktığını gösterdiği,Teyit,2019,False,İddia özelinde teyit edici haber metni korpus dökümünde yer almamaktadır.
FACTURK-0109,Şişli Hamidiye Etfal Hastanesi'nin Dünyanın ilk Çocuk Hastanesi Olduğu,Malumatfuruş,2022,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
FACTURK-0118,Yeniden Refah Partisi Konya Milletvekili Ali Yüksel'in Geçmişte Bir Dönem 3 Eşli Olduğu,Malumatfuruş,2023,False,Yayıncı (Malumatfuruş) korpusta hiç yer almamaktadır; iddia sıfırıncı gün konusudur.
