claim_id,year,date_published,organisation,gold_label,final_verdict,abstained,is_correct,is_neutral,source_url
FACTURK-0001,2023,2023-04-27T16:54:07+00:00,Doğruluk Payı,0,YALAN,False,True,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/abd-de-cikan-bir-yasa-cocuklarin-aile-izni-olmadan-cinsiyet-degistirmesine-izin-mi-veriyor
FACTURK-0002,2021,2021-03-21T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/telefonun-dinlenip-dinlenmedigini-anlamanin-yolu/
FACTURK-0003,2019,2019-01-17T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/cinin-aya-goturdugu-pamuk-tohumlarinin-filizlendigi-iddiasi
FACTURK-0004,2023,2023-10-07T00:00:00+00:00,Malumatfuruş,0,DOĞRU,False,False,False,https://www.malumatfurus.org/uefa-kupasi-kupa-2/
FACTURK-0005,2025,2025-04-08T14:57:29+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/b-sinifi-ehliyete-sahip-olmak-125-cc-ye-kadar-olan-motosikletler-kullanmak-icin-yeterli-mi
FACTURK-0006,Bilinmiyor,Bilinmiyor,Doğrula,0,YALAN,False,True,True,https://www.dogrula.org/dogrulamalar/videonun-rus-arama-kurtarma-personelinin-enkazdan-caldigi-paralari-gosterdigi-iddiasi/
FACTURK-0007,2024,2024-04-23T14:26:58+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/kur-an-i-kerim-icinde-yakalanan-para-goruntuleri-turkiye-yle-mi-iliskili
FACTURK-0008,2018,2018-04-23T00:00:00+00:00,Teyit,1,YALAN,False,False,False,https://teyit.org/analiz/trt-haberin-3-bin-yillik-cami-restore-edildi-baslikli-haber-yaptigi-iddiasi
FACTURK-0009,Bilinmiyor,Bilinmiyor,Doğrula,1,YALAN,False,False,False,https://www.dogrula.org/dogrulamalar/eski-disisleri-bakani-tevfik-rustu-aras-domuz-cok-guzel-bir-gidadir-dedi-mi/
FACTURK-0010,2022,2022-12-31T00:00:00+00:00,Malumatfuruş,0,YALAN,False,True,False,https://www.malumatfurus.org/taksimde-dogalgaz-bulundu/
FACTURK-0011,2021,2021-12-06T00:00:00+00:00,Malumatfuruş,0,DOĞRU,False,False,False,https://www.malumatfurus.org/biraz-yorgunum-siiri/
FACTURK-0012,2024,2024-04-12T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/insan-ve-nesneleri-gorunmez-yapabilen-mega-kalkan-gercek-mi
FACTURK-0013,2021,2021-07-27T14:33:15+00:00,Doğruluk Payı,1,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/2020-islamilik-endeksi-siralamalarina-yonelik-iddialar
FACTURK-0014,2025,2025-11-14T10:37:16+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/videodaki-goruntuler-sudan-ic-savasi-na-mi-ait
FACTURK-0015,2022,2022-12-31T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/andrew-tate-greta-thunberg-pizza/
FACTURK-0016,2021,2021-10-22T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/diyanetin-baldizla-zina-nikaha-zarar-vermez-fetvasi-verdigi-iddiasi
FACTURK-0017,2022,2022-01-30T14:57:35+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/fotograf-445-kg-agirligindaki-bir-adamin-x-ray-goruntusu-mu-gosteriyor
FACTURK-0018,2026,2026-02-09T00:00:00+00:00,Teyit,0,DOĞRU,False,False,False,https://teyit.org/analiz/epsteini-tel-avivde-bir-berberde-gosteren-fotograf-gercek-mi
FACTURK-0019,2022,2022-06-29T00:00:00+00:00,Teyit,0,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/adanada-6-milyar-dolarlik-jelibon-bulundugu-iddiasi
FACTURK-0020,2016,2016-04-07T12:31:59+00:00,Günün Yalanları,0,YALAN,False,True,True,https://gununyalanlari.com/yalan/417-ozgur-gundemin-erdogandan-sehirleri-bombalama-talimati-yalani
FACTURK-0021,2023,2023-08-02T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,False,https://www.malumatfurus.org/yalancinin-mumu-yassiya-kadar-yanar/
FACTURK-0022,2025,2025-07-30T15:43:54+00:00,Doğruluk Payı,1,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/bir-arastirmaya-gore-pandeminin-covid-gecirmeyen-kisileri-bile-5-5-ay-daha-hizli-yaslandirdigi-iddiasi-dogru-mu
FACTURK-0023,2024,2024-04-29T10:40:54+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/video-bir-kisinin-bir-sanat-eseri-icerisinde-kendine-50-yilligina-muzeye-kapattigini-mi-gosteriyor
FACTURK-0024,2023,2023-11-29T00:00:00+00:00,Malumatfuruş,1,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/anna-muzychuk-suudi-arabistan-protesto/
FACTURK-0025,2016,2016-08-26T17:27:12+00:00,Günün Yalanları,0,YALAN,False,True,False,https://gununyalanlari.com/yalan/537-pkk-hdpnin-tsk-kimyasal-silah-kullaniyor-iddiasi
FACTURK-0026,2023,2023-02-13T13:38:07+00:00,Doğrula,0,YALAN,False,True,True,https://www.dogrula.org/dogrulamalar/darulacezeye-nakledilecek-depremzede-cocuklar-icin-gonullulere-ihtiyac-oldugu-iddiasi/
FACTURK-0027,2022,2022-12-02T00:00:00+00:00,Teyit,1,DOĞRU,False,True,False,https://teyit.org/analiz/kanada-fas-macinda-trt-spikerinin-devre-arasinda-degistigi-iddiasi
FACTURK-0028,2024,2024-01-10T00:00:00+00:00,Malumatfuruş,1,YALAN,False,False,True,https://www.malumatfurus.org/epstein-adasindaki-turk-cocugu/
FACTURK-0029,2020,2020-11-26T00:00:00+00:00,Teyit,1,YALAN,False,False,False,https://teyit.org/analiz/utahda-gizemli-bir-monolit-bulundugu-iddiasi
FACTURK-0030,2025,2025-04-24T15:36:27+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/atm-ye-ak-47-ile-gidip-para-ceken-kisinin-serbest-kaldigi-iddiasi-dogru-mu
FACTURK-0031,2024,2024-08-09T00:00:00+00:00,Malumatfuruş,1,YETERSİZ VERİ,True,False,False,https://www.malumatfurus.org/mezuniyet-toreni-topuklu-ayakkabi/
FACTURK-0032,2018,2018-06-11T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/bitlisteki-cami-minaresine-ak-partinin-secim-afisi-asildigi-iddiasi
FACTURK-0033,2025,2025-01-15T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/shakirayi-turkiyede-bir-markette-gosteren-fotograf-gercek-mi
FACTURK-0034,2024,2024-09-23T12:33:42+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/bill-gates-asilara-karsi-cikanlari-susturmak-icin-yapay-zekayi-kullanacaklarina-dair-bir-aciklamada-bulundu-mu
FACTURK-0035,2024,2024-01-26T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/ucagin-uzerindeki-insanlari-gosteren-fotograf-gercek-mi
FACTURK-0036,2022,2022-09-13T10:24:50+00:00,Doğruluk Payı,0,YETERSİZ VERİ,True,False,True,https://www.dogrulukpayi.com/dogruluk-kontrolu/ingiltere-hamile-kadinlar-icin-asi-onerisini-kaldirdi-mi
FACTURK-0037,2023,2023-11-28T00:00:00+00:00,Malumatfuruş,0,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/sahte-yarali/
FACTURK-0038,2025,2025-05-20T00:00:00+00:00,Malumatfuruş,1,YETERSİZ VERİ,True,False,True,https://www.malumatfurus.org/ataturk-timur/
FACTURK-0039,2024,2024-01-30T00:00:00+00:00,Teyit,1,YALAN,False,False,True,https://teyit.org/analiz/hirvatistanda-4-lira-20-kurusa-ev-satildigi-iddiasi
FACTURK-0040,2023,2023-11-14T00:00:00+00:00,Teyit,1,YETERSİZ VERİ,True,False,True,https://teyit.org/analiz/videodaki-seffaf-kanatli-kelebek-gercek-mi
