claim_id,gold_label,gold_verdict,period,claim_text,evidence_publisher,evidence_url,evidence_text
FACTURK-0003,1,DOĞRU,pre_2022,Çin'in Ay'a götürdüğü pamuk tohumlarının filizlendiği,BBC Türkçe,https://www.bbc.com/turkce/haberler-dunya-46875153,"Çin Ulusal Uzay İdaresi (CNSA), Chang'e-4 keşif aracıyla Ay'ın karanlık yüzüne götürülen pamuk tohumlarının başarıyla filizlendiğini duyurdu. Biyolojik deney kabında yeşeren pamuk tohumu, Ay yüzeyinde filizlenen ilk bitki olarak tarihe geçti."
FACTURK-0008,1,DOĞRU,pre_2022,TRT Haber'in '3 bin yıllık cami restore edildi' başlıklı haber yaptığı,Cumhuriyet,https://www.cumhuriyet.com.tr/haber/trt-haberin-3-bin-yillik-cami-gafi-sosyal-medyada-gundem-oldu-1718902,"TRT Haber televizyonu ve internet sitesi, Batman Hasankeyf'teki restorasyon çalışmasını 'Hasankeyf'te 3 bin yıllık cami restore edildi' başlığıyla haberleştirdi. İslamiyet'in yaklaşık 1400 yıllık geçmişi bulunmasına rağmen yapılan bu yayın kamuoyunda ve sosyal medyada geniş yankı uyandırdı."
FACTURK-0013,1,DOĞRU,pre_2022,"2020 İslamilik Endeksi'ne göre, İslam'a en uygun yaşayan ülkeler sıralamasında Türkiye 100. sırada yer alıyor",Euronews Türkçe,https://tr.euronews.com/2021/06/07/islamilik-endeksi-turkiye-100-siraya-geriledi-zirvede-yine-yeni-zelanda-var,"İslamilik Vakfı (Islamicity Foundation) tarafından yayımlanan 2020 İslamilik Endeksi raporuna göre, Kuran ve İslam prensiplerine en uygun yönetilen ülkeler sıralamasında Yeni Zelanda birinci olurken, Türkiye 153 ülke arasında 100. sırada yer aldı."
FACTURK-0016,1,DOĞRU,pre_2022,Diyanetin baldızla zinanın nikaha zarar vermeyeceği fetvası yayınladığı,Sözcü,https://www.sozcu.com.tr/diyanet-ten-baldiz-fetvasi-nikaha-zarar-vermez-wp6218042,"Diyanet İşleri Başkanlığı Din İşleri Yüksek Kurulu, yöneltilen bir soruya verdiği resmi fetvada, bir erkeğin baldızıyla zina yapmasının büyük günah ve haram olduğunu ancak eşiyle olan mevcut nikah akdini hukuken geçersiz kılmayacağını açıklamıştır."
FACTURK-0029,1,DOĞRU,pre_2022,Utah'da gizemli bir monolit bulunduğu,Anadolu Ajansı,https://www.aa.com.tr/tr/dunya/abdnin-utah-eyaletindeki-colde-gizemli-metal-blok-bulundu/2054231,"ABD'nin Utah eyaletinde yaban hayatı görevlileri, helikopterle koyun sayımı yaptıkları sırada kızıl kayalıklar arasındaki çölde yere dikilmiş yaklaşık 3,6 metre yüksekliğinde gizemli, metalik bir monolit blok buldu."
FACTURK-0032,1,DOĞRU,pre_2022,Bitlis'teki cami minaresine AK Parti'nin seçim afişi asıldığı,Cumhuriyet,https://www.cumhuriyet.com.tr/haber/bitliste-cami-minaresine-akp-afisi-asildi-1279024,"Bitlis'in Tatvan ilçesinde yer alan Saadet Camisi'nin minaresine, 31 Mart yerel seçimleri öncesinde AKP belediye başkan adayının propaganda afişi asıldı ve tepkiler üzerine afiş minareden indirildi."
FACTURK-0041,1,DOĞRU,pre_2022,Fotoğrafın Erdoğan ve Soros'u aynı masada gösterdiği,Hürriyet,https://www.hurriyet.com.tr/gundem/erdogan-soros-ile-gorustu-125482,"Cumhurbaşkanı Recep Tayyip Erdoğan, 2003 yılında Başbakanlığı döneminde Davos Dünya Ekonomik Forumu sırasında Amerikalı milyarder George Soros ile aynı masada bir araya gelmiş ve Türkiye'deki yatırım ortamı hakkında resmi görüşme yapmıştır."
FACTURK-0046,1,DOĞRU,pre_2022,İstanbul Havalimanı'nın şantiye alanını su bastığı,Sözcü,https://www.sozcu.com.tr/yeni-havalimani-santiyesini-su-basti-wp2840192,"İstanbul'da etkili olan kuvvetli sağanak yağış ve fırtına nedeniyle İstanbul Yeni Havalimanı inşaat ve şantiye sahasını su basmış, işçilerin kaldığı konteynerler su altında kalmıştır."
FACTURK-0047,1,DOĞRU,pre_2022,"Akşam gazetesinin, 'Atatürk Havalimanı güvenli' haberini saldırının ardından kaldırdığı",Cumhuriyet,https://www.cumhuriyet.com.tr/haber/aksam-gazetesi-ataturk-havalimani-guvenli-haberini-sildi-559381,"Akşam gazetesi internet sitesi, Atatürk Havalimanı'ndaki terör saldırısından sadece saatler önce yayımladığı 'Atatürk Havalimanı dünyanın en güvenli havalimanlarından biri' başlıklı haberini, 45 kişinin hayatını kaybettiği patlamanın hemen ardından web sitesinden kaldırdı."
FACTURK-0055,1,DOĞRU,pre_2022,Konya Şeker'in 17 milyar 863 milyon TL borcu var,Dünya Gazetesi,https://www.dunya.com.tr/sirketler/konya-seker-borc-yapilandirmasi-icin-bankalarla-masada-haberi-629104,Anadolu Birlik Holding iştiraki Konya Şeker Sanayi ve Ticaret A.Ş.'nin finansal tablolarında yer alan toplam borç miktarının 17 milyar 863 milyon TL seviyesine ulaştığı ve bankalarla borç yapılandırma müzakerelerinin sürdüğü kamuoyuna açıklandı.
FACTURK-0065,1,DOĞRU,pre_2022,İçişleri Bakanlığı logosu bulunan seçim görevlisi kartlarıyla ilgili iddia,Anadolu Ajansı,https://www.aa.com.tr/tr/turkiye/icisleri-bakanligindan-secim-gorevlisi-karti-aciklamasi/1429983,"İçişleri Bakanlığı, sosyal medyada dolaşıma giren ve bakanlık logosu taşıyan 'seçim görevlisi tanıtım kartları'nın seçim güvenliği kapsamında polis ve jandarma kolluk kuvvetleri için İçişleri Bakanlığı GAMER merkezi tarafından hazırlandığını resmen doğrulamıştır."
FACTURK-0066,1,DOĞRU,pre_2022,Japonya Osaka'da Hamidiye markalı su satıldığı,TRT Haber,https://www.trthaber.com/haber/dunya/japonyada-hamidiye-su-satisi-basladi-419082.html,"İstanbul Büyükşehir Belediyesi iştiraki Hamidiye Kaynak Suları, Japonya'nın Osaka kentine su ihracatına başladı ve Japon süpermarket raflarında Hamidiye markalı Türk doğal kaynak suları satışa sunuldu."
