sample_index,corpus_id,publisher,label_provenance,source_url,text_snippet,check_status,notes
1,25631,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.21264E+18,Parkta dehşete düşüren görüntü! Temizlik işçileri polise haber verdi,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
2,20877,Teyit / Dogruluk Payi Arşivi,fact_check_archive,https://TeyitOrg-False,"Görüntülerdeki alevlerin belli bir hattı izlemesinin nedeni, bir yangınla mücade...",DOGRULANAMIYOR,"Genel teyit linki, spesifik inceleme sayfası değil."
3,23223,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.58912e+17,"Pakistan'da depremin bilançosu: 243 ölü, 2 bine yakın yaralı",DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
4,8348,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.27945e+17,‘SSCB’de herkes üniversiteliydi’ efsanesinden hareketle evrensel kent,DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
5,23654,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.02938E+18,Bugün Türkiye... Vatandaşlar akın etti,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
6,17696,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.18491E+18,Barış Atay'dan #ateşkes kararı sonrası flaş Halk Bank sorusu,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
7,15631,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/1.09455E+18,#SONDAKİKA - Kartal'da çöken binanın enkazında yeni gelişme,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
8,2258,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/8.72014E+17,Esnaf sopalarla birbirine girdi,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
9,19765,Diken,verified_news_archive,https://www.diken.com.tr,İnce neden YSK’nın önüne gitmediğini açıkladı: Kuşkuya düşürecek karar yoktu …,DOGRULANAMIYOR,"Haberin yayıncısı (Diken/Evrensel) doğru fakat URL makale bazlı değil, anasayfa/alan adı düzeyinde."
10,14265,Evrensel,verified_news_archive,https://twitter.com/evrenselgzt/status/6.53965e+17,"Katliamda hayatını kaybedenlerin aileleri: Lanet olsun maaşlarına,katiller bulun...",DOGRU_ESLESME,Evrensel resmi Twitter/X arşiv paylaşım kimliği ile doğrudan eşleşme.
11,9471,Diken,verified_news_archive,https://www.diken.com.tr,Milli motosikletçi vekil Meclis’e Lamborghini’siyle gitti …,DOGRULANAMIYOR,"Haberin yayıncısı (Diken/Evrensel) doğru fakat URL makale bazlı değil, anasayfa/alan adı düzeyinde."
12,3399,Limon Haber (Clickbait),clickbait_archive,https://twitter.com/limon/status/8.45579E+17,Avrupa ile Türkiye arasındaki 1 saatlik zaman farkı ortadan kalkıyor,DOGRU_ESLESME,Limon haber clickbait arşivi tweet ID ile eşleşme.
