text
"Cumhurbaşkanı Erdoğan, kabine toplantısının ardından açıklamalarda bulundu."
"Türkiye'nin ilk yerli otomobili Togg, satış rekorları kırmaya devam ediyor."
"Meteoroloji Genel Müdürlüğü, Marmara Bölgesi için sağanak yağış uyarısı yaptı."
"Milli Eğitim Bakanlığı, okulların açılacağı tarihi resmi olarak duyurdu."
"Teknofest Havacılık, Uzay ve Teknoloji Festivali bu yıl İzmir'de düzenlenecek."
"Sağlık Bakanı, grip vakalarındaki artışa dikkat çekerek aşı uyarısında bulundu."
Erzurum Teknik Üniversitesi öğrencileri yapay zeka projesiyle ödül aldı.
Türkiye Cumhuriyet Merkez Bankası faiz kararını yarın açıklayacak.
İstanbul'da trafik yoğunluğu sabah saatlerinde yüzde 70 seviyesine ulaştı.
"Milli sporcumuz Mete Gazoz, Avrupa Şampiyonası'nda altın madalya kazandı."
"ASELSAN, yeni geliştirdiği radar sistemini uluslararası fuarda tanıttı."
Türkiye'nin turizm geliri geçen yılın aynı dönemine göre %15 arttı.
"Bilim Kurulu üyesi, maske takmanın önemine dair yeni bir makale yayınladı."
"THY, Avrupa'nın en çok uçuş yapan havayolu şirketi seçildi."
"İstanbul Borsası güne yükselişle başladı, BIST 100 endeksi rekor tazeledi."
"Tarım ve Orman Bakanlığı, çiftçilere yönelik yeni destek paketini açıkladı."
"Milli Savunma Bakanlığı, Pençe-Kilit operasyonunda ele geçirilen mühimmatları sergiledi."
"Yükseköğretim Kurumu (YÖK), üniversite kontenjanlarında düzenlemeye gitti."
"Türkiye Voleybol Federasyonu, Filenin Sultanları'nın maç takvimini paylaştı."
"BTK, sosyal medya düzenlemesiyle ilgili yeni yönetmeliği Resmi Gazete'de yayımladı."
"Deprem uzmanları, İstanbul için kentsel dönüşümün hızlanması gerektiğini vurguladı."
Karadeniz'de bulunan doğalgaz rezervi sisteme entegre edilmeye başlandı.
"TÜİK, aylık enflasyon rakamlarını kamuoyu ile paylaştı."
"Milli kütüphane, dijital arşiviyle araştırmacılara ücretsiz hizmet vermeye başladı."
"Gençlik ve Spor Bakanlığı, yaz kampları başvurularının başladığını duyurdu."
