claim_id,category,claim,gold_verdict,final_verdict,raw_status,max_rerank_score,nli_probs,retrieved_source_snippet,source_id,source_channel,classification_reason
FACTURK-0008,R,TRT Haber'in “3 bin yıllık cami restore edildi” başlıklı haber yaptığı,DOĞRU,YALAN,RED,0.04655,"[0.9863, 0.0122, 0.0015]","A Haber “Hasankeyf’te 4 bin 600 yıllık cami taşınıyor” şeklinde alt bant kullandı. Caminin ağırlığı, yaşı ile karışıtırılmış.",23842,Teyit / Dogruluk Payi Arşivi,Belge iddiadaki bazı anahtar kelimeleri taşısa da iddianın doğruluk çekirdeğini taşımıyor (yüzeysel retrieval eşleşmesi).
FACTURK-0028,V,Videonun Jeffrey Epstein'ın Adasında İşkence Gören Türk Çocuğunun Özür Dilerim Arthur Dediği Ana Ait Olduğu,DOĞRU,YALAN,UYARI,0.10913,"[0.0143, 0.9805, 0.0053]",Sosyal medyada paylaşılan bir videonun Çinli birkaç kişinin Uygur Türkü bir kız çocuğuna yaptığı işkenceyi gösterdiği iddia edildi.,6704,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0039,K,Hırvatistan’da 4 lira 20 kuruşa ev satıldığı,DOĞRU,YALAN,RED,0.00342,"[0.0431, 0.9367, 0.0203]","Cumhurbaşkanı Recep Tayyip Erdoğan, ""Ev sahibi olanlara 5 bin lira, kiracı olanlara 2 bin lira kira yardımı yapacağız."" dedi.",7703,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayı doğrudan teyit edecek veya çürütecek haber metni mevcut değil (korpus boşluğu). Getirilen aday zayıf/alakasız.
FACTURK-0051,K,Koronavirüsün Hiçbir Zaman İzole Edil(e)mediği,YALAN,DOĞRU,ONAY,0.73278,"[0.9998, 0.0001, 0.0001]","SARS-CoV-2 virüsü farklı ülkelerde defalarca izole edildi. Koronavirüsün genetik materyalini inceleyen tüm bu bilimsel araştırmalar, virüsün izole edi...",11553,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0069,K,Yerli tütün kullanımının 14 yıl içinde yüzde 42'den yüzde 12'ye gerilediği,DOĞRU,YALAN,RED,0.99371,"[0.0007, 0.0003, 0.9989]",Sosyal medyada Türkiye’deki sigara firmalarının yerli tütün kullanım oranı 2003 ve 2017 yılları arasında yüzde 42’den yüzde 12’ye geriledi.,23489,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0083,V,Fotoğraf Brezilya'daki tek bir kaju ağacını mı gösteriyor,DOĞRU,YALAN,UYARI,0.02018,"[0.1128, 0.8836, 0.0036]",Fotoğraftaki ağaç ABD'de ve Newton’un yerçekimi yasasını bulmasına vesile olduğu rivayet edilen elma ağacı değil.,13778,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0086,K,Konya Tuzlukçu Belediyesi’nin asgari ücreti 4 bin 500 TL yaptığı,DOĞRU,YALAN,RED,0.02203,"[0.0007, 0.998, 0.0013]",Asgari ücret araştırma sonuçları açıklandı,18953,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0093,K,2012 Londra Olimpiyatları Açılış Törenindeki Koreografiyle Covid19 Pandemisinin Simgelendiği,YALAN,DOĞRU,ONAY,0.0116,"[0.9858, 0.0119, 0.0023]","Covid-19 aşılarının dağıtımında kullanılacak olan süslü nakil araçlarını gösterdiği iddia edilen fotoğraf, pandemiden öncesine ait.",11552,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0114,V,Görselin 1947 yılında Yahudilerin Filistin'e varışını gösterdiği,DOĞRU,YALAN,UYARI,0.02656,"[0.0047, 0.9934, 0.0019]","Sosyal medyada paylaşılan bir görselin, Aydın'da bulunan Atça beldesinin yukarıdan çekilen görüntüsünü gösterdiği iddia edildi.",5659,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0123,K,"Enflasyonla mücadele: Kanada, ""vergi tatili"" mi ilan etti",DOĞRU,YALAN,RED,0.00074,"[0.8761, 0.1025, 0.0214]","Resmi Gazete'de yayımlanan Cumhurbaşkanı Kararı ile film gösterimleri, spor müsabakaları, at yarışları ve konserlerden alınan eğlence vergisi yüzde sı...",26607,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayı doğrudan teyit edecek veya çürütecek haber metni mevcut değil (korpus boşluğu). Getirilen aday zayıf/alakasız.
FACTURK-0128,V,"meyvelerin üzerine yapıştırılan çıkartmalardaki kodların pestisit kullanımı, organik üretim veya genetiği değiştirilmiş olup olmadığını gösterdiği iddia edildi",DOĞRU,YALAN,UYARI,0.00963,"[0.0073, 0.988, 0.0047]",Sosyal medyada ve bazı haber sitelerinde yer alan paylaşımlarda ıspanak zehirlenmelerinin nedeninin organofosfat adlı bir pestisit olduğu iddia edildi...,8680,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0131,K,İspanya’nın İsrail ile yaptığı 700 milyon Euroluk silah anlaşmasını iptal ettiği,DOĞRU,YALAN,RED,0.01013,"[0.0079, 0.9917, 0.0005]",‘Türkiye-İsrail anlaşmaları iptal edilsin’ önergesine AKP’den ret …,4096,Diken,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0141,K,Yavuz Sultan Selim Köprüsü ve Kuzey Çevre Otoyolu’nun %51’i Çin menşeli şirkete satılıyor,DOĞRU,YALAN,RED,0.48439,"[0.0015, 0.9972, 0.0013]","Körfez geçiş köprüsü, Körfeze dinamit!",21132,Evrensel,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0148,K,M Özdoğan Günlükleri Adlı Kitapta Necmettin Erbakana Ait Bir Sözün Paylaşıldığı,YALAN,DOĞRU,ONAY,0.03321,"[0.9753, 0.017, 0.0076]","Teyit’e ihbar olarak gönderilen paylaşımda, MEB tarafından hazırlanan ders kitabında, şarkıcı Mahmut Tuncer’e atfedilen bir sözün bulunduğu iddia edil...",21599,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0158,V,Görselde yer alan haritada Türkiye’deki akraba evliliklerinin oranlarının verildiği,DOĞRU,YALAN,UYARI,0.02475,"[0.0018, 0.9962, 0.002]",Bir şehir efsanesine dönüşmüş olan iddiaya göre dünyanın dört bir yanından binlerce insan görselde yer alan adamı rüyasında gördü.,3097,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0183,V,1963 tarihli bir gazetede cep telefonunun gösterildiği,DOĞRU,YALAN,UYARI,0.01358,"[0.2567, 0.127, 0.6163]",“Put” ifadesi fotoğrafa sonradan montajlanmış. Gazete kupürünün orijinalinde “Milliyet’in Atatürk Heykeli Kampanyası” ifadesinin yer aldığı 6 Aralık 1...,12380,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0196,K,Türkiye’nin toplam merkezi yönetim borcu başkanlık sisteminden bu yana %109 arttı,DOĞRU,YALAN,RED,0.00562,"[0.0012, 0.9981, 0.0007]",Batık krediler 10 ayda 18.2 milyar lira arttı: 80 milyarı aşkın borç ödenemiyor …,18352,Diken,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0200,V,Bir X hesabı tarafından 27 Ocak 2025 tarihinde paylaşılan bir gönderide 1 Şubat 2025 tarihinden itibaren 1.050 TL’yi geçen elektrik faturalarının 2.000 TL olacağı iddia edildi,DOĞRU,YALAN,UYARI,0.28348,"[0.0063, 0.9919, 0.0018]","Sosyal medyada paylaşılan bir gönderide, Twitter’a abonelik sistemi geleceği ve kullancılara ödeme yapılarak destek olunabileceği iddia edildi.",24217,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0210,K,videonun Bahreyn ile Suudi Arabistan’ı birbirine bağlayan Kral Fehd Köprüsü'nün vurulduğu anları gösterdiği iddia edildi,YALAN,DOĞRU,ONAY,0.77899,"[0.9783, 0.0196, 0.0021]","İnternette paylaşılan ve teyit.org'a ihbar olarak gönderilen videonun, şiddetli rüzgar sonucunda parçalanan bir rüzgar türbinini gösterdiği iddia edil...",3189,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0215,K,Ak Parti Milletvekili Zehra Taşkesenlioğlu’nun Afrika’da bakır madeni sahibi olduğu bilgisinin Meclis tutanaklarında kaydedildiği iddia edildi,DOĞRU,YALAN,RED,0.05707,"[0.9558, 0.0428, 0.0014]","Sosyal medyada paylaşılan bir görselde, AK Parti'nin milletvekili aday listesinde, doktor olan bir kişinin eğitim durumuna ilkokul yazıldığı iddia edi...",24613,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0243,V,Bir Instagram hesabı tarafından 3 Ekim 2024 tarihinde paylaşılan gönderide Trabzon Opera Binası’nın 1958 yılında yoldan araçların geçemediği için yol yapma amacıyla yıkıldığı iddia edildi,DOĞRU,YALAN,UYARI,0.84235,"[0.0029, 0.9962, 0.001]",Sosyal medyada paylaşılan ve teyit.org’a ihbar olarak gönderilen bir fotoğrafın Türkiye’de inşa edilen bir yolu gösterdiği iddia edildi.,1427,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0248,K,Pokemon ararken karşımıza çıkan yanlış haberler,YALAN,DOĞRU,ONAY,0.07237,"[0.0076, 0.0159, 0.9765]","Pokemon GO'nun tüm dünyada beklenenden fazla ilgi görmesiyle, sosyal medyada da oyunla ilgili birçok iddia yayıldı. Hangilerinin yanlış olduğunu incel...",18148,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0249,K,Nihat Zeybekci'nin TBMM'nin sitesindeki özgeçmişinden İngiltere eğitimi kaldırıldı,DOĞRU,YALAN,RED,0.98818,"[0.0011, 0.0027, 0.9962]",Ekonomi Bakanı Zeybekci'nin TBMM'nin sitesinde yer alan özgeçmişinden South London College’da eğitim aldığını belirten bölümün çıkartıldığı iddia edil...,427,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0278,K,Çek Cumhuriyeti’nin çocuklar için belli hastalıklar için uyguladığı zorunlu aşı politikası AİHM tarafından insan hakları ihlali olarak değerlendirilmedi,DOĞRU,YALAN,RED,0.04264,"[0.1208, 0.877, 0.0022]","Türkiye İnsan Hakları ve Eşitlik Kurumu (TİHEK) Başkanı Prof. Dr. Muharrem Kılıç, depremzedelerden yüksek kira bedeli istenmesi, depremzedelere ev ver...",1416,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0286,K,Bilkent Üniversitesi'nin öğrencilere çevrimiçi sınavlar için ayna gönderdiği,DOĞRU,YALAN,RED,0.00306,"[0.7701, 0.182, 0.0479]",Katar'lı öğrencilerin sınavsız tıp okuyacağı yalanını gençlerin sınava gireceği dönemde yazıp sonra da özür dileyerek tekzip yayınlayan yalandan vukua...,27237,MIDE22 Research Dataset,Korpusta bu iddiayı doğrudan teyit edecek veya çürütecek haber metni mevcut değil (korpus boşluğu). Getirilen aday zayıf/alakasız.
FACTURK-0291,V,Videodaki akıllı park sistemine sahip ofis sandalyeleri gerçek,DOĞRU,YALAN,UYARI,0.01358,"[0.2364, 0.7623, 0.0013]",Videoda görünenler gerçek bir turist ile personel değil. Sosyal medya fenomenlerinin benzer başka kurgu videoları da var.,2792,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0295,V,Fotoğraf biri ilgi görmüş diğer ise ihmal edilmiş iki çocuğun beyin yapısındaki farklılığı gösteriyor,DOĞRU,YALAN,UYARI,0.01837,"[0.0012, 0.9944, 0.0044]",Sosyal medyada paylaşılan bir fotoğrafın Avrupa’daki bir okulda ayrı yerlere oturtulan siyah ve beyaz çocukları gösterdiği iddia edildi.,22918,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0317,V,fotoğrafın Down sendromlu bir baba ve oğlunu gösterdiği iddia edildi,DOĞRU,YALAN,UYARI,0.38133,"[0.0026, 0.9962, 0.0012]","Sosyal medyada paylaşılan ve Teyit’e ihbar olarak gönderilen fotoğrafın, küçük bir afet ve acil durum toplanma bölgesini gösterdiği iddia edildi.",24849,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0339,V,Türkiye'den İtalya ve Fransa'ya gönderilen kuru incirlerde yüksek oranda aflatoksin tespit edildiğinden bu ürünlerin Türkiye'ye geri gönderildiği iddia edildi,DOĞRU,YALAN,UYARI,0.05987,"[0.0002, 0.9996, 0.0002]",Sosyal medyada paylaşılan bir iddiada barkod numarası 869 ile başlayan ürünlerin Türk malı olduğu belirtiliyor.,635,Teyit / Dogruluk Payi Arşivi,K-6 yardımcı sınıflandırıcısının şüpheli metin yapısı uyarısı veya sembolik veto katmanı (K-5) DOĞRU iddiayı YALAN'a çevirdi.
FACTURK-0344,R,Star TV'nin Etnospor Kültür Festivali için '16 ülkeden 10 sporcu katılıyor' şeklinde alt bant kullandığı,DOĞRU,YALAN,RED,0.99975,"[0.0021, 0.0036, 0.9943]",Sosyal medyada bir hesap tarafından paylaşılan iddiaya göre Star TV bülteni sırasında Etnospor Kültür Festivali için “16 ülkeden 10 sporcu katılıyor” ...,21953,Teyit / Dogruluk Payi Arşivi,Belge iddiadaki bazı anahtar kelimeleri taşısa da iddianın doğruluk çekirdeğini taşımıyor (yüzeysel retrieval eşleşmesi).
FACTURK-0349,K,KYK yurtlarında kalmaya ‘cumhurbaşkanına hakaret suçundan hüküm giymeme’ şartı konduğu,DOĞRU,YALAN,RED,0.18403,"[0.1206, 0.8719, 0.0076]",İki oyuncu hakkında suçlamalar: * Akpınar: 'Cumhurbaşkanına hakaret' ve 'halkı T.C. hükümetine karşı silahlı isyana tahrik' * Gezen: 'Cumhurbaşkanına ...,6585,Diken,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
FACTURK-0357,K,videonun sokakta bulunan saç kesme makinesini gösterdiği,YALAN,DOĞRU,ONAY,0.07146,"[0.8695, 0.1292, 0.0012]",Sosyal medyada paylaşılan videonun yapay bir insanı gösterdiği öne sürüldü.,9150,Teyit / Dogruluk Payi Arşivi,Korpusta bu iddiayla ilgili spesifik olgu metni bulunmuyor; retrieval alakasız genel metin getirdi.
