text,label,id,authority,publisher,source_url,label_provenance
"Şok iddia! Uzaylılar dün gece Ankara semalarında görüldü, işte görüntüler.",0,1,0.85,,https://unknown.local/1,unknown
"Limonlu su içmek kanseri 3 günde tamamen yok ediyor, doktorlar saklıyor!",0,2,0.85,,https://unknown.local/2,unknown
"Whatsapp bu geceden itibaren paralı olacak, bu mesajı 10 kişiye gönderin.",0,3,0.85,,https://unknown.local/3,unknown
"Ünlü sanatçı hayatını kaybetti! (Tıklama tuzağı, aslında ölmedi)",0,4,0.85,,https://unknown.local/4,unknown
"Hükümet herkese bedava araba dağıtacakmış, başvurular başladı.",0,5,0.85,,https://unknown.local/5,unknown
Gökten balık yağdı! Bilim insanları şaşkınlık içinde.,0,6,0.85,,https://unknown.local/6,unknown
"Gizli dünya devleti, nüfusu azaltmak için sulara ilaç karıştırıyor.",0,7,0.85,,https://unknown.local/7,unknown
"Mars'ta insan iskeleti bulundu, NASA görüntüleri sildi.",0,8,0.85,,https://unknown.local/8,unknown
"Bu kürü yaparsanız 1 haftada 20 kilo verirsiniz, garanti yöntem.",0,9,0.85,,https://unknown.local/9,unknown
"Elektrik faturaları artık ödenmeyecek, yeni kararname sızdı!",0,10,0.85,,https://unknown.local/10,unknown
Japon bilim insanları açıkladı: İnsanlar aslında simülasyonda yaşıyor!,0,11,0.85,,https://unknown.local/11,unknown
"Banka hesaplarına gizlice para yatırılıyor, hemen kontrol edin!",0,12,0.85,,https://unknown.local/12,unknown
"Bu meyveyi yiyen bir daha asla hasta olmuyor, eczaneler kapatılacak.",0,13,0.85,,https://unknown.local/13,unknown
"5G direkleri virüs yayıyor, mahallenizdeki direkleri kontrol edin.",0,14,0.85,,https://unknown.local/14,unknown
"Emeklilere her ay 50 bin TL ikramiye verilecekmiş, resmi açıklama yok ama kesin bilgi.",0,15,0.85,,https://unknown.local/15,unknown
Ünlü futbolcu uzaylılar tarafından kaçırıldığını iddia etti.,0,16,0.85,,https://unknown.local/16,unknown
"Dünya aslında düzdür, NASA fotoğrafları photoshop ile yapıyor.",0,17,0.85,,https://unknown.local/17,unknown
Evinizdeki kediler aslında sizi izleyen ajan robotlar olabilir!,0,18,0.85,,https://unknown.local/18,unknown
Telefonunuzu mikrodalgaya koyarsanız şarjı 1 hafta gidiyor.,0,19,0.85,,https://unknown.local/19,unknown
"Maden suyu içmek kemikleri eritiyor, sakın içmeyin!",0,20,0.85,,https://unknown.local/20,unknown
Tarihi eser kaçakçıları piramitlerin altında zaman makinesi buldu.,0,21,0.85,,https://unknown.local/21,unknown
"Kola içmek DNA'nızı değiştiriyor, insanlıktan çıkabilirsiniz.",0,22,0.85,,https://unknown.local/22,unknown
Facebook profilinize bunu yazmazsanız tüm fotoğraflarınız halka açık olacak.,0,23,0.85,,https://unknown.local/23,unknown
"Devlet herkese bedava iPhone dağıtacakmış, sıraya girin!",0,24,0.85,,https://unknown.local/24,unknown
"Yarın internet tamamen kesilecek, bir daha gelmeyecek.",0,25,0.85,,https://unknown.local/25,unknown
"Japonya'daki yeni maglev trenleri, yerçekimine karşı gelen uzaylı teknolojileri kullanılarak üretildiğinden saatte 5000 kilometreye ulaşıyor.",0,26,0.85,,https://unknown.local/26,unknown
Jüpiter gezegeninde yakın zamanda insan yaşamına uygun oksijen dolu ormanlık bir alan tespit edildi.,0,27,0.85,,https://unknown.local/27,unknown
"Mustafa Kemal Atatürk'ün aslında 19 Mayıs 1919'da Samsun'a gitmediği, o dönemde gizli bir anlaşma ile başkentte kaldığı belgelerle ispatlandı.",0,28,0.85,,https://unknown.local/28,unknown
"Merkez Bankası yepyeni bir karar alarak, ülkede nakit kullanımını tamamen yasakladığını ve sadece dijital çip ile alışveriş yapılacağını duyurdu.",0,29,0.85,,https://unknown.local/29,unknown
"Yeni bulunan gizli bir antibiyotik formülünün, tüm grip ve soğuk algınlığı virüslerini sadece 5 dakikada tamamen yok ettiği açıklandı.",1,30,0.85,,https://unknown.local/30,unknown
Jüpiter gezegeninde yakın zamanda insan yaşamına uygun oksijen dolu ormanlık bir devasa alan tespit edildi.,0,31,0.85,,https://unknown.local/31,unknown
