claim_id,source_type,is_web,claim_date,doc_date_raw,doc_date,diff_days,is_dated_window,is_post_claim,is_post_t7,gold_verdict,final_verdict,is_correct,source_url
FACTURK-0002,web,True,2021-03-21T00:00:00+00:00,"Sat, 07 Oct 2017 05:02:34 GMT",2017-10-07T05:02:34+00:00,-1260.79,False,False,False,YALAN,YALAN,True,https://www.memurlar.net/haber/458466/telefonunuzun-dinlendigini-nasil-anlarsiniz.html
FACTURK-0003,web,True,2019-01-17T00:00:00+00:00,"Tue, 15 Jan 2019 08:00:00 GMT",2019-01-15T08:00:00+00:00,-1.67,True,False,False,DOĞRU,DOĞRU,True,https://www.aa.com.tr/tr/bilim-teknoloji/aya-gonderilen-tohumlar-filizlendi/1365263
FACTURK-0006,web,True,,"Tue, 14 Feb 2023 08:00:00 GMT",2023-02-14T08:00:00+00:00,,False,False,False,YALAN,YALAN,True,https://www.trthaber.com/haber/turkiye/rus-arama-kurtarma-ekibi-turkiyedeki-enkazda-150-bin-dolar-buldu-746121.html
FACTURK-0010,local,False,2022-12-31T00:00:00+00:00,,,,True,False,False,YALAN,YALAN,True,https://TeyitOrg-False
FACTURK-0015,web,True,2022-12-31T00:00:00+00:00,"Tue, 03 Jan 2023 08:00:00 GMT",2023-01-03T08:00:00+00:00,3.33,True,True,False,YALAN,YALAN,True,https://www.indyturk.com/node/594476
FACTURK-0016,web,True,2021-10-22T00:00:00+00:00,"Thu, 21 Oct 2021 07:00:00 GMT",2021-10-21T07:00:00+00:00,-0.71,True,False,False,DOĞRU,DOĞRU,True,https://www.cumhuriyet.com.tr/turkiye/diyanetten-garip-zina-yorumu-1878345
FACTURK-0019,web,True,2022-06-29T00:00:00+00:00,"Wed, 29 Jun 2022 07:00:00 GMT",2022-06-29T07:00:00+00:00,0.29,True,True,False,YALAN,DOĞRU,False,https://artigercek.com/guncel/melih-gokcek-adiyamanda-6-milyar-dolarlik-jelibon-rezervi-bulundu-216514h
FACTURK-0020,local,False,2016-04-07T12:31:59+00:00,,,,True,False,False,YALAN,YALAN,True,https://twitter.com/evrenselgzt/status/6.41664e+17
FACTURK-0021,web,True,2023-08-02T00:00:00+00:00,"Tue, 08 Aug 2023 07:00:00 GMT",2023-08-08T07:00:00+00:00,6.29,True,True,False,YALAN,YALAN,True,https://www.gazeteduvar.com.tr/teyit-arastirdi-yalancinin-mumu-yassiya-kadar-degil-yatsiya-kadar-yaniyormus-haber-1631993
FACTURK-0025,local,False,2016-08-26T17:27:12+00:00,,,,True,False,False,YALAN,YALAN,True,https://TRT
FACTURK-0027,local,False,2022-12-02T00:00:00+00:00,,,,True,False,False,DOĞRU,DOĞRU,True,https://TeyitOrg-True
FACTURK-0028,web,True,2024-01-10T00:00:00+00:00,"Thu, 11 Jan 2024 08:00:00 GMT",2024-01-11T08:00:00+00:00,1.33,True,True,False,DOĞRU,YALAN,False,https://www.aa.com.tr/tr/teyithatti/aktuel/videonun-epsteinin-adasindan-kurtulan-turk-cocugu-gosterdigi-iddiasi/1817226
FACTURK-0029,local,False,2020-11-26T00:00:00+00:00,,,,True,False,False,DOĞRU,DOĞRU,True,https://TeyitOrg-True
FACTURK-0031,web,True,2024-08-09T00:00:00+00:00,"Fri, 09 Aug 2024 07:00:00 GMT",2024-08-09T07:00:00+00:00,0.29,True,True,False,DOĞRU,DOĞRU,True,https://www.aa.com.tr/tr/teyithatti/gazze/universite-mezuniyet-torenindeki-topuklu-ayakkabi-uyarisinin-sebebi-ne/1818129
FACTURK-0033,web,True,2025-01-15T00:00:00+00:00,"Wed, 15 Jan 2025 08:00:00 GMT",2025-01-15T08:00:00+00:00,0.33,True,True,False,DOĞRU,DOĞRU,True,https://www.gazeteduvar.com.tr/shakirayi-turkiyede-bir-markette-gosteren-fotograf-gercek-mi-galeri-1749887
FACTURK-0036,web,True,2022-09-13T10:24:50+00:00,"Tue, 22 Dec 2020 08:00:00 GMT",2020-12-22T08:00:00+00:00,-630.1,False,False,False,YALAN,DOĞRU,False,https://www.bbc.com/turkce/haberler-dunya-55409439
