claim_id,source_type,debunk_triggered,matched_keywords,gold_verdict,final_verdict,is_correct,source_id,source_url
FACTURK-0002,web,False,,YALAN,YALAN,True,web_397c1c75_0,https://www.memurlar.net/haber/458466/telefonunuzun-dinlendigini-nasil-anlarsiniz.html
FACTURK-0003,web,False,,DOĞRU,DOĞRU,True,web_4526e1da_0,https://www.aa.com.tr/tr/bilim-teknoloji/aya-gonderilen-tohumlar-filizlendi/1365263
FACTURK-0006,web,False,,YALAN,YALAN,True,web_e723a324_0,https://www.trthaber.com/haber/turkiye/rus-arama-kurtarma-ekibi-turkiyedeki-enkazda-150-bin-dolar-buldu-746121.html
FACTURK-0010,local,False,,YALAN,YALAN,True,24363,https://TeyitOrg-False
FACTURK-0015,web,False,,YALAN,YALAN,True,web_49780b9d_2,https://www.indyturk.com/node/594476
FACTURK-0016,web,False,,DOĞRU,DOĞRU,True,web_6f37e20a_0,https://www.cumhuriyet.com.tr/turkiye/diyanetten-garip-zina-yorumu-1878345
FACTURK-0019,web,False,,YALAN,DOĞRU,False,web_ee40c2f2_1,https://artigercek.com/guncel/melih-gokcek-adiyamanda-6-milyar-dolarlik-jelibon-rezervi-bulundu-216514h
FACTURK-0020,local,False,,YALAN,YALAN,True,10255,https://twitter.com/evrenselgzt/status/6.41664e+17
FACTURK-0021,web,False,,YALAN,YALAN,True,web_01484b81_0,https://www.gazeteduvar.com.tr/teyit-arastirdi-yalancinin-mumu-yassiya-kadar-degil-yatsiya-kadar-yaniyormus-haber-1631993
FACTURK-0025,local,False,,YALAN,YALAN,True,10769,https://TRT
FACTURK-0027,local,False,,DOĞRU,DOĞRU,True,15752,https://TeyitOrg-True
FACTURK-0028,web,False,,DOĞRU,YALAN,False,web_350b3a6a_0,https://www.aa.com.tr/tr/teyithatti/aktuel/videonun-epsteinin-adasindan-kurtulan-turk-cocugu-gosterdigi-iddiasi/1817226
FACTURK-0029,local,False,,DOĞRU,DOĞRU,True,5759,https://TeyitOrg-True
FACTURK-0031,web,False,,DOĞRU,DOĞRU,True,web_b5825e4b_0,https://www.aa.com.tr/tr/teyithatti/gazze/universite-mezuniyet-torenindeki-topuklu-ayakkabi-uyarisinin-sebebi-ne/1818129
FACTURK-0033,web,False,,DOĞRU,DOĞRU,True,web_c7003e12_0,https://www.gazeteduvar.com.tr/shakirayi-turkiyede-bir-markette-gosteren-fotograf-gercek-mi-galeri-1749887
FACTURK-0036,web,False,,YALAN,DOĞRU,False,web_669f780c_1,https://www.bbc.com/turkce/haberler-dunya-55409439
FACTURK-0038,web,False,,DOĞRU,DOĞRU,True,web_820f9765_2,https://www.aydinlik.com.tr/fotogaleri/izmire-onunla-girdi-ataturkun-kilicinin-sirri-timur-ile-iliskisi-343292
FACTURK-0040,web,False,,DOĞRU,YALAN,False,web_cd3c10bb_0,https://www.risalehaber.com/hayvanlar-aleminde-allahin-seffaf-eserleri-678g.htm
FACTURK-0041,web,False,,DOĞRU,DOĞRU,True,web_c27679fb_0,https://www.tele1.com.tr/erdogan-kavalayla-ayni-masada
FACTURK-0042,web,False,,YALAN,DOĞRU,False,web_7b946714_0,https://www.showtv.com.tr/show-ozel-haber/35-saat-oruc-tutuyorlar-188071
FACTURK-0043,web,False,,YALAN,YALAN,True,web_bc99460b_0,https://tr.euronews.com/2022/04/21/rusya-n-n-ele-gecirdigi-mariupol-un-stratejik-onemi-ukrayna-n-n-azak-k-y-s-nda-sehri-kalma
FACTURK-0044,local,False,,YALAN,YALAN,True,21537,https://huggingface.co/datasets/ogozcelik/turkish-fake-news-detection
FACTURK-0046,local,False,,DOĞRU,DOĞRU,True,15238,https://TeyitOrg-True
FACTURK-0048,local,False,,YALAN,YALAN,True,7857,https://TeyitOrg-False
FACTURK-0049,web,False,,DOĞRU,DOĞRU,True,web_deb99829_1,https://www.mepanews.com/epstein-ile-muhammed-bin-selmanin-fotografi-ortaya-cikti-76178h.htm
FACTURK-0051,local,False,,YALAN,DOĞRU,False,11553,https://TeyitOrg-False
FACTURK-0053,web,False,,DOĞRU,DOĞRU,True,web_332cdc7b_0,https://trf1.net/formula-1/hurriyet-gazetesi-f1-avustralya-gp-haberiyle-sinifta-kaldi/17653/
