text
"Şok iddia! Uzaylılar dün gece Ankara semalarında görüldü, işte görüntüler."
"Limonlu su içmek kanseri 3 günde tamamen yok ediyor, doktorlar saklıyor!"
"Whatsapp bu geceden itibaren paralı olacak, bu mesajı 10 kişiye gönderin."
"Ünlü sanatçı hayatını kaybetti! (Tıklama tuzağı, aslında ölmedi)"
"Hükümet herkese bedava araba dağıtacakmış, başvurular başladı."
Gökten balık yağdı! Bilim insanları şaşkınlık içinde.
"Gizli dünya devleti, nüfusu azaltmak için sulara ilaç karıştırıyor."
"Mars'ta insan iskeleti bulundu, NASA görüntüleri sildi."
"Bu kürü yaparsanız 1 haftada 20 kilo verirsiniz, garanti yöntem."
"Elektrik faturaları artık ödenmeyecek, yeni kararname sızdı!"
Japon bilim insanları açıkladı: İnsanlar aslında simülasyonda yaşıyor!
"Banka hesaplarına gizlice para yatırılıyor, hemen kontrol edin!"
"Bu meyveyi yiyen bir daha asla hasta olmuyor, eczaneler kapatılacak."
"5G direkleri virüs yayıyor, mahallenizdeki direkleri kontrol edin."
"Emeklilere her ay 50 bin TL ikramiye verilecekmiş, resmi açıklama yok ama kesin bilgi."
Ünlü futbolcu uzaylılar tarafından kaçırıldığını iddia etti.
"Dünya aslında düzdür, NASA fotoğrafları photoshop ile yapıyor."
Evinizdeki kediler aslında sizi izleyen ajan robotlar olabilir!
Telefonunuzu mikrodalgaya koyarsanız şarjı 1 hafta gidiyor.
"Maden suyu içmek kemikleri eritiyor, sakın içmeyin!"
Tarihi eser kaçakçıları piramitlerin altında zaman makinesi buldu.
"Kola içmek DNA'nızı değiştiriyor, insanlıktan çıkabilirsiniz."
Facebook profilinize bunu yazmazsanız tüm fotoğraflarınız halka açık olacak.
"Devlet herkese bedava iPhone dağıtacakmış, sıraya girin!"
"Yarın internet tamamen kesilecek, bir daha gelmeyecek."
