text,label
Sennuz Sezer yazdı: Güneş Tutkunları’ndan Rahime Henden’e mektup,1
THY’den Kıbrıs yolcularına uyarı,0
Günde 2 adet acı kırmızı biber yemenin bakın ne faydası var,0
"Sosyal medyada ve Ciddi Gazete gibi internet haber sitelerinde paylaşılan fotoğrafın, 23 Nisan 2019 tarihinde İstanbul'da asılan Binali Yıldırım afişlerini gösterdiği iddia edildi.",0
"Ticaret Bakanı Mehmet Muş, Adıyaman’da deprem bölgesindeki çalışmalara ilişkin açıklamalarda bulundu. Muş, ""Valiliğin olduğu caddeye sivil araçların gelmesi çalışmaları olumsuz etkilemekte. Vatandaşlarımızdan isteğimiz, şehir merkezine araçlarıyla gelmesinler. Önceliğimiz hayat kurtarmak "" açıklamasını yaptı.",1
Menemende viyadük inşaatında harç altında kalan işçilerden birinin cesedine ulaşıldı,1
Ahmet Yaşaroğlu: Yüzsüzlük ve arsızlık,1
AOÇ Plan değişikliğini değerlendiren Candan: Kamusal alan değil yine rant,1
"Camera Ottomana Osmanlı İmparatorluğu’nda Fotoğraf ve Modernite, Sergisi ANAMED’de açıldı.",1
Times'tan dikkat çeken 'DEAŞ' ve 'Türkiye' yorumu,0
"Baykar Yönetim Kurulu Başkanı ve Teknoloji Lideri Selçuk Bayraktar, deprem bölgesindeki yaraları sarmak için AFAD ile koordineli olarak 1000 konut bağışladıklarını açıkladı.",1
Son varyant delmicron emrediyo olabilir,0
Bitlis'te korucu baskısı köylüleri göçe zorluyor,1
Whatsapp'tan gelen fotoğraf hayatlarını kabusa çevirdi!,0
"Ekonomist Murat Muratoğlu: Damadı duyunca nasıl kaçacaklarını şaşırdılar, Türkiye'nin geleceği Endonezya …",1
İyi geceler. Yarınki manşetimiz direnişçi Rabia ninenin sözleri 'Torunlarımın geleceği için',1
AKP'nin 'troll'leri Hollanda polisine Mehter Marşı dinletmek isterse... Bakın kimi aradılar,0
Türkiye Barış Meclisi: Öcalan’a görüş yasağı kalkmalı,1
Yavru kediye yaptığı işkence sonrası Türkiye'yi ayağa kaldıran cani hakkında TSK'dan açıklama…,0
