claim_id,claim_text
G0001,Türk özel sektörü yenilenebilir enerji yatırımını artırdı.
G0002,Türkiye'de genişbant internet abonesi sayısı arttı.
G0003,Türkiye otomotiv ihracatında yeni hedef koydu.
G0004,Antalya'da turizm gelirleri rekora ulaştı.
G0005,Anayasa mahkemesi CHP'yi kapatma kararı verdi.
G0006,Herkes bedava sağlık hizmetine kavuşuyor.
G0007,TBMM'de eğitim bütçesi görüşmeleri tamamlandı.
G0008,MEB öğretmen atama takvimini güncelledi.
G0009,Güneş enerjisi elektrik ihtiyacını zaten tamamen karşılıyor.
G0010,Türkiye ile Japonya arasında yeni ekonomik anlaşma imzalandı.
G0011,Gizli rapor: Türkiye'de enerji krizi 3 ay sonra başlıyor.
G0012,Gizli belge: Hükümet seçimi 2027'ye ertelemeyi planlıyor.
G0013,NATO Türkiye'yi üyelikten çıkardı.
G0014,Doğalgaz fiyatları Avrupa piyasasında gerilerken Türkiye etkilendi.
G0015,Oyun oynamak çocuklarda IQ'yu kalıcı olarak düşürüyor.
G0016,"Tüm devlet memurlarına 2 maaş ikramiye verilecek, resmi açıklama yok."
G0017,Türk Hava Yolları yeni sefer rotaları açıkladı.
G0018,Türkiye'de konut satışları aylık bazda arttı.
G0019,Türkiye-Katar ikili görüşmesi gerçekleşti.
G0020,Bakanlık tüketici enflasyonu verilerini açıkladı.
G0021,NASA duyurdu: Dünya 2034'te bir asteroitle çarpışacak.
G0022,Yeni algoritmalar: Facebook kullanıcıların beyin dalgalarını okuyor.
G0023,Türkiye BM Güvenlik Konseyi'nde tutumunu açıkladı.
G0024,Türkiye Akdeniz'de arama kurtarma operasyonu yürüttü.
G0025,Tarihte bugün: Atatürk Ankara yerine İzmir'i başkent seçti.
G0026,Çevre Bakanlığı gizli rapor: İklim krizi Türkiye'yi siliyor.
G0027,Bu politikacının arşivden silinen fotoğrafları bulundu.
G0028,"Türkiye uzaya füze fırlattı, Ay'a ilk Türk bayrağı dikildi."
G0029,Sağlık Bakanlığı HPV aşısını ulusal aşı takvimine ekledi.
G0030,BDDK bankaların sermaye yeterliliği raporunu yayımladı.
G0031,İstanbul İl Milli Eğitim Müdürlüğü yeni kılavuz yayımladı.
G0032,Kızılay İstanbul'da kan bağışı kampanyası düzenledi.
G0033,Türkiye'de doğaya yönelik suçlar için yeni ceza düzenlemesi yapıldı.
G0034,Tarım Bakanlığı hayvancılık destek paketini açıkladı.
G0035,Dışişleri Bakanlığı Suriye'deki gelişmelere ilişkin açıklama yaptı.
G0036,Türkiye geri dönüşüm oranlarını Avrupa ortalamasına yaklaştırdı.
G0037,MEB yeni sistemle tüm ödevleri kaldırıyor.
G0038,"WhatsApp artık ücretli, mesaj başına 0.10 TL ödenecek."
G0039,Cumhurbaşkanı G20 zirvesine katıldı.
G0040,Türk yatırımcılar Dubai'de ofis açtı.
G0041,Tarım Bakanlığı çiftçi destek ödemelerini başlattı.
G0042,Türk diasporası Avustralya'da kültür etkinliği düzenledi.
G0043,İstanbul'da metro tamamen ücretsiz hale geliyor.
G0044,Türk diasporası Fransa'da sivil toplum örgütü kurdu.
G0045,İstanbul'da iş insanları forumu düzenlendi.
G0046,"Türkiye Kıbrıs'ı resmen ilhak etti, BM'ye bildirim yapıldı."
G0047,Türkiye'de bu ay 500 kişi kayıt dışı çalışma nedeniyle tutuklandı.
G0048,SEDDK sigorta sektörü verilerini yayımladı.
G0049,"Bu görüntü Türkiye değil, Ukrayna bombardımanından alındı."
G0050,Türkiye'de bu yıl 3 milyon kişi işini kaybetti.
G0051,Türkiye'de artık vatandaşlar iki pasaport alamıyor.
G0052,"Bu şarkıcı sahte kimlikle yaşıyor, gerçek adı farklı."
G0053,İnstagram hesabı sayısına göre vergi alınacak.
G0054,Çevre Bakanlığı sıfır atık projesinin kapsamını genişletti.
G0055,İstanbul'daki yangın itfaiye tarafından kontrol altına alındı.
G0056,"Bilim insanları: Güneş 6 ay sonra sönüyor, hazırlıklı olun."
G0057,"Galatasaray maçı hakemi rüşvetle satın alındı, kayıt ortaya çıktı."
G0058,Seçimlerde kullanılan oyların yüzde 30'u geçersiz sayıldı.
G0059,Denizcilik Genel Müdürlüğü yeni düzenlemeyi yürürlüğe koydu.
G0060,Borsa İstanbul'da BIST 100 endeksi rekor kırdı.
G0061,"Bu bölgede su kuyuları zehirlendi, kimyasal silah izi bulundu."
G0062,İstanbul'un nüfusu artık 30 milyona ulaştı.
G0063,"Bu fotoğraf bugünkü olayları değil, 2015 mülteci krizini gösteriyor."
G0064,Yeni ilacı içen hastaların yüzde 40'ında kalp ritim bozukluğu görüldü.
G0065,"Türkiye'de artık oy verme zorunlu, oy kullanmayana hapis."
G0066,"AKP seçim hilesi yaptı, sandıklar manipüle edildi."
G0067,Yeni yasa: Vatandaşlar artık banka hesaplarını gizleyemez.
G0068,Türk üniversitesi uluslararası sıralamada yer aldı.
G0069,Yeni torba yasayla çalışanlara ek vergi geliyor.
G0070,Türkiye 2030'a kadar kişi başı geliri 50 bin dolara çıkaracak.
G0071,"Yeni ilaç Alzheimer'ı tamamen iyileştiriyor, satışa çıkıyor."
G0072,İstanbul Büyükşehir Belediyesi trafik yönetimi sistemini güncelledi.
G0073,Türk savunma şirketi yurt dışında yeni anlaşma imzaladı.
G0074,Tüm telefonlar gizli olarak Cumhurbaşkanlığı sunucularına bağlı.
G0075,Yeni torba yasa ile özel sağlık sigortası zorunlu hale geliyor.
G0076,Türkiye'de otomotiv üretimi geçen yıla göre arttı.
G0077,Tüm uçuşlar bu hafta sonu teknik arıza nedeniyle iptal.
G0078,Türkiye Cumhurbaşkanı Almanya Başbakanı ile görüştü.
G0079,İstanbul'da yeni kültür merkezi açıldı.
G0080,TOBB verilerine göre geçen ay 10.000 yeni şirket kuruldu.
G0081,Türkiye'de deprem sigortası artık zorunlu ve 10 kat pahalı.
G0082,Türk lirasının değeri 1 yılda sıfır oldu.
G0083,Türkiye Rusya ile gizli anlaşma imzaladı.
G0084,Türkiye kıyı temizleme seferberliği başlattı.
G0085,"Bu bitki içilirse kolesterol 1 günde normalleşiyor, doktorlar saklıyor."
G0086,Türkiye finans varlıklarının tamamı donduruldu.
G0087,Çanakkale köprüsü çatlaklar yüzünden yarın kapatılıyor.
G0088,Türkiye yüksek lisans programlarına kayıt sayıları açıklandı.
