claim_id,text,gold_label,annotator_A1,annotator_A2,annotator_A3,is_disputed,dispute_resolved_round
G0001,Türk özel sektörü yenilenebilir enerji yatırımını artırdı.,1,1,1,1,0,1
G0002,Türkiye'de genişbant internet abonesi sayısı arttı.,1,1,1,1,0,1
G0003,Türkiye otomotiv ihracatında yeni hedef koydu.,1,1,1,1,0,1
G0004,Antalya'da turizm gelirleri rekora ulaştı.,1,1,1,1,0,1
G0005,Anayasa mahkemesi CHP'yi kapatma kararı verdi.,0,0,0,0,0,1
G0006,Herkes bedava sağlık hizmetine kavuşuyor.,0,0,0,0,0,1
G0007,TBMM'de eğitim bütçesi görüşmeleri tamamlandı.,1,1,1,1,0,1
G0008,MEB öğretmen atama takvimini güncelledi.,1,1,1,1,0,1
G0009,Güneş enerjisi elektrik ihtiyacını zaten tamamen karşılıyor.,0,0,0,0,0,1
G0010,Türkiye ile Japonya arasında yeni ekonomik anlaşma imzalandı.,1,1,1,1,0,1
G0011,Gizli rapor: Türkiye'de enerji krizi 3 ay sonra başlıyor.,0,0,0,0,0,1
G0012,Gizli belge: Hükümet seçimi 2027'ye ertelemeyi planlıyor.,0,0,0,0,0,1
G0013,NATO Türkiye'yi üyelikten çıkardı.,0,0,0,0,0,1
G0014,Doğalgaz fiyatları Avrupa piyasasında gerilerken Türkiye etkilendi.,1,1,1,1,0,1
G0015,Oyun oynamak çocuklarda IQ'yu kalıcı olarak düşürüyor.,0,0,0,0,0,1
G0016,"Tüm devlet memurlarına 2 maaş ikramiye verilecek, resmi açıklama yok.",0,0,0,0,0,1
G0017,Türk Hava Yolları yeni sefer rotaları açıkladı.,1,1,1,1,0,1
G0018,Türkiye'de konut satışları aylık bazda arttı.,1,1,1,1,0,1
G0019,Türkiye-Katar ikili görüşmesi gerçekleşti.,1,1,1,1,0,1
G0020,Bakanlık tüketici enflasyonu verilerini açıkladı.,1,1,1,1,0,1
G0021,NASA duyurdu: Dünya 2034'te bir asteroitle çarpışacak.,0,0,0,0,0,1
G0022,Yeni algoritmalar: Facebook kullanıcıların beyin dalgalarını okuyor.,0,0,0,0,0,1
G0023,Türkiye BM Güvenlik Konseyi'nde tutumunu açıkladı.,1,1,1,1,0,1
G0024,Türkiye Akdeniz'de arama kurtarma operasyonu yürüttü.,1,1,1,1,0,1
G0025,Tarihte bugün: Atatürk Ankara yerine İzmir'i başkent seçti.,0,0,0,0,0,1
G0026,Çevre Bakanlığı gizli rapor: İklim krizi Türkiye'yi siliyor.,0,0,0,0,0,1
G0027,Bu politikacının arşivden silinen fotoğrafları bulundu.,0,0,0,0,0,1
G0028,"Türkiye uzaya füze fırlattı, Ay'a ilk Türk bayrağı dikildi.",0,0,0,0,0,1
G0029,Sağlık Bakanlığı HPV aşısını ulusal aşı takvimine ekledi.,1,1,1,1,0,1
G0030,BDDK bankaların sermaye yeterliliği raporunu yayımladı.,1,1,1,1,0,1
G0031,İstanbul İl Milli Eğitim Müdürlüğü yeni kılavuz yayımladı.,1,1,1,1,0,1
G0032,Kızılay İstanbul'da kan bağışı kampanyası düzenledi.,1,1,1,1,0,1
G0033,Türkiye'de doğaya yönelik suçlar için yeni ceza düzenlemesi yapıldı.,1,1,1,1,0,1
G0034,Tarım Bakanlığı hayvancılık destek paketini açıkladı.,1,1,1,1,0,1
G0035,Dışişleri Bakanlığı Suriye'deki gelişmelere ilişkin açıklama yaptı.,1,1,1,1,0,1
G0036,Türkiye geri dönüşüm oranlarını Avrupa ortalamasına yaklaştırdı.,1,1,1,1,0,1
G0037,MEB yeni sistemle tüm ödevleri kaldırıyor.,0,0,0,0,0,1
