text	
	
Þok iddia! Uzaylýlar dün gece Ankara semalarýnda görüldü, iþte görüntüler.	
	
Limonlu su içmek kanseri 3 günde tamamen yok ediyor, doktorlar saklýyor!	
	
Whatsapp bu geceden itibaren paralý olacak, bu mesajý 10 kiþiye gönderin.	
	
Ünlü sanatçý hayatýný kaybetti! (Týklama tuzaðý, aslýnda ölmedi)	
	
Hükümet herkese bedava araba daðýtacakmýþ, baþvurular baþladý.	
	
Gökten balýk yaðdý! Bilim insanlarý þaþkýnlýk içinde.	
	
Gizli dünya devleti, nüfusu azaltmak için sulara ilaç karýþtýrýyor.	
	
Mars'ta insan iskeleti bulundu, NASA görüntüleri sildi.	
	
Bu kürü yaparsanýz 1 haftada 20 kilo verirsiniz, garanti yöntem.	
	
Elektrik faturalarý artýk ödenmeyecek, yeni kararname sýzdý!	
	
Japon bilim insanlarý açýkladý: Ýnsanlar aslýnda simülasyonda yaþýyor!	
	
Banka hesaplarýna gizlice para yatýrýlýyor, hemen kontrol edin!	
	
Bu meyveyi yiyen bir daha asla hasta olmuyor, eczaneler kapatýlacak.	
	
5G direkleri virüs yayýyor, mahallenizdeki direkleri kontrol edin.	
	
Emeklilere her ay 50 bin TL ikramiye verilecekmiþ, resmi açýklama yok ama kesin bilgi.	
	
Ünlü futbolcu uzaylýlar tarafýndan kaçýrýldýðýný iddia etti.	
	
Dünya aslýnda düzdür, NASA fotoðraflarý photoshop ile yapýyor.	
	
Evinizdeki kediler aslýnda sizi izleyen ajan robotlar olabilir!	
	
Telefonunuzu mikrodalgaya koyarsanýz þarjý 1 hafta gidiyor.	
	
Maden suyu içmek kemikleri eritiyor, sakýn içmeyin!	
	
Tarihi eser kaçakçýlarý piramitlerin altýnda zaman makinesi buldu.	
	
Kola içmek DNA'nýzý deðiþtiriyor, insanlýktan çýkabilirsiniz.	
	
Facebook profilinize bunu yazmazsanýz tüm fotoðraflarýnýz halka açýk olacak.	
	
Devlet herkese bedava iPhone daðýtacakmýþ, sýraya girin!	
	
Yarýn internet tamamen kesilecek, bir daha gelmeyecek.	
	
Japonya'daki yeni maglev trenleri, yerçekimine karþý gelen uzaylý teknolojileri kullanýlarak üretildiðinden saatte 5000 kilometreye ulaþýyor.	
	
Jüpiter gezegeninde yakýn zamanda insan yaþamýna uygun oksijen dolu ormanlýk bir alan tespit edildi.	
	
Mustafa Kemal Atatürk'ün aslýnda 19 Mayýs 1919'da Samsun'a gitmediði, o dönemde gizli bir anlaþma ile baþkentte kaldýðý belgelerle ispatlandý.	
	
Merkez Bankasý yepyeni bir karar alarak, ülkede nakit kullanýmýný tamamen yasakladýðýný ve sadece dijital çip ile alýþveriþ yapýlacaðýný duyurdu.	
	
Yeni bulunan gizli bir antibiyotik formülünün, tüm grip ve soðuk algýnlýðý virüslerini sadece 5 dakikada tamamen yok ettiði açýklandý.	
	
