claim_id,claim_text
G0391,Turkiye tarim ihracatinda yeni pazar buldu.
G0392,Bu insaat projesi yasadisi yollarla onaylandi.
G0393,"Bu fotograf sahte, asil gercek tamamen farkli."
G0394,Bu saglikla ilgili iddia bilimsel olarak kesinlikle yanlistir.
G0395,Türk üniversitesi AB Horizon projesine ortak oldu.
G0396,"Bu urun geri cagrıldı, ciddi tehlike arz ediyor."
G0397,Turkiye Arap ülkeleriyle yatirim forumu düzenledi.
G0398,Disisleri Bakanligi bir arabuluculuk anlasmasi sagladi.
G0399,Bu arastirma bulgularinin gercekligi sorgulanmaktadir.
G0400,Deprem tahmincisi: Bu ayin sonunda 9 buyuklugunde deprem olacak.
G0401,Borsa Istanbul BIST 100 endeksi günü yüklenis ile kapatti.
G0402,TOBB yilin girisimcisini ödüllendirdi.
G0403,Turkiye günes enerjisi kapasitesi rekor düzeye ulasti.
G0404,Hazine ve Maliye Bakanligi yeni KDV duzenlemesini duyurdu.
G0405,Yeni vergi sistemiyle esnafin tumu iflas edecek.
G0406,Hukumet gizli kararname ile 100 sirketi daha kapatti.
G0407,"Bu rapor verileri saptırılmıs, gercek tablo cok farkli."
G0408,Bu politikaci hakkindaki iddialarin tumu asilsizdir.
G0409,Bu ilac kullanimi kalici hasara yol aciyor.
G0410,Turkiye Avrupa Konseyi toplantisinda temsil edildi.
G0411,"Bu cozum imkansiz, bu iddia teknik olarak yanlistir."
G0412,"Bu fotograf bugunun olayi degil, yillar oncesine ait."
G0413,Turkiye yüksek teknoloji ihracatini artirmayi hedefliyor.
G0414,Bu cocuk oyuncagi kanserojen madde icerebilir.
G0415,Bu anket sonuclari tamamen sahte verilerle olusturuldu.
G0416,Belediyeler arasi is birligi anlasmasi imzalandi.
G0417,Sehir suyuna eklenen madde cocuklarda geri donusumlu beyin hasari yapiyor.
G0418,Türk Kizilay deprem bölgesine yardim malzemesi gönderdi.
G0419,Egitim bakanligi okullari kalici olarak kapatacak.
G0420,Turkiye bu hafta 3 farkli ulkeyle savas ilan etti.
G0421,BDDK tüketici kredisi düzenleme taslagini görüse acti.
G0422,Turkiye gizlice 500 bin kisi tutuklanmistir.
G0423,KOSGEB kücük isletmelere yönelik yeni destekleri acikladi.
G0424,Kültür Bakanligi yeni müze katalogu yayimladi.
