claim_id,gold_verdict,final_verdict,raw_status,abstained,is_correct,k6_available,k6_predicted_label,k6_confidence,k6_override,k6_rescue,k6_concur,k6_dissent
FACTURK-0001,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.9521,False,False,False,False
FACTURK-0002,YALAN,YALAN,RED,False,True,True,0,0.6943,False,False,False,False
FACTURK-0003,DOĞRU,DOĞRU,ONAY,False,True,True,1,0.8496,False,False,True,False
FACTURK-0004,YALAN,YETERSİZ VERİ,RET,True,False,True,1,0.9619,False,False,False,False
FACTURK-0005,YALAN,YETERSİZ VERİ,RET,True,False,True,1,0.8872,False,False,False,False
FACTURK-0006,YALAN,YALAN,RED,False,True,True,0,0.9487,False,False,True,False
FACTURK-0007,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.5693,False,False,False,False
FACTURK-0008,DOĞRU,YETERSİZ VERİ,RET,True,False,True,1,0.5845,False,False,False,False
FACTURK-0009,DOĞRU,YETERSİZ VERİ,RET,True,False,True,1,0.8779,False,False,False,False
FACTURK-0010,YALAN,YALAN,UYARI,False,True,True,1,0.7607,False,False,False,True
FACTURK-0011,YALAN,YETERSİZ VERİ,RET,True,False,True,1,0.5894,False,False,False,False
FACTURK-0012,DOĞRU,YETERSİZ VERİ,RET,True,False,True,0,0.5083,False,False,False,False
FACTURK-0013,DOĞRU,YETERSİZ VERİ,KISMI,True,False,True,1,0.9619,False,False,False,False
FACTURK-0014,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.8237,False,False,False,False
FACTURK-0015,YALAN,YALAN,RED,False,True,True,1,0.6641,False,False,False,False
FACTURK-0016,DOĞRU,DOĞRU,ONAY,False,True,True,1,0.749,False,False,True,False
FACTURK-0017,YALAN,YETERSİZ VERİ,RET,True,False,True,1,0.7974,False,False,False,False
FACTURK-0018,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.6504,False,False,False,False
FACTURK-0019,YALAN,DOĞRU,ONAY,False,False,True,1,0.9175,False,False,True,False
FACTURK-0020,YALAN,YALAN,RED,False,True,True,1,0.8667,False,False,False,True
FACTURK-0021,YALAN,YALAN,RED,False,True,True,0,0.5752,False,False,False,False
FACTURK-0022,DOĞRU,YETERSİZ VERİ,RET,True,False,True,0,0.8428,False,False,False,False
FACTURK-0023,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.8745,False,False,False,False
FACTURK-0024,DOĞRU,YETERSİZ VERİ,RET,True,False,True,1,0.9771,False,False,False,False
FACTURK-0025,YALAN,YALAN,RED,False,True,True,1,0.7339,False,False,False,True
FACTURK-0026,YALAN,YETERSİZ VERİ,RET,True,False,True,1,0.8306,False,False,False,False
FACTURK-0027,DOĞRU,DOĞRU,ONAY,False,True,True,1,0.748,False,False,True,False
FACTURK-0028,DOĞRU,YALAN,RED,False,False,True,0,0.9199,False,False,True,False
FACTURK-0029,DOĞRU,DOĞRU,ONAY,False,True,True,0,0.7192,False,False,False,True
FACTURK-0030,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.814,False,False,False,False
FACTURK-0031,DOĞRU,DOĞRU,ONAY,False,True,True,1,0.9307,False,False,True,False
FACTURK-0032,DOĞRU,YETERSİZ VERİ,RET,True,False,True,1,0.8071,False,False,False,False
FACTURK-0033,DOĞRU,DOĞRU,ONAY,False,True,True,0,0.7715,False,False,False,True
FACTURK-0034,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.811,False,False,False,False
FACTURK-0035,DOĞRU,YETERSİZ VERİ,RET,True,False,True,0,0.8818,False,False,False,False
FACTURK-0036,YALAN,DOĞRU,ONAY,False,False,True,1,0.8379,False,False,True,False
FACTURK-0037,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.5757,False,False,False,False
FACTURK-0038,DOĞRU,DOĞRU,ONAY,False,True,True,0,0.792,False,False,False,True
FACTURK-0039,DOĞRU,YETERSİZ VERİ,RET,True,False,True,1,0.9521,False,False,False,False
FACTURK-0040,DOĞRU,YALAN,RED,False,False,True,0,0.8604,False,False,True,False
FACTURK-0041,DOĞRU,DOĞRU,ONAY,False,True,True,0,0.9116,False,False,False,True
FACTURK-0042,YALAN,DOĞRU,ONAY,False,False,True,1,0.6997,False,False,False,False
FACTURK-0043,YALAN,YALAN,RED,False,True,True,1,0.8511,False,False,False,True
FACTURK-0044,YALAN,YALAN,RED,False,True,True,0,0.9277,False,False,True,False
FACTURK-0045,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.9546,False,False,False,False
FACTURK-0046,DOĞRU,DOĞRU,ONAY,False,True,True,1,0.5786,False,False,False,False
FACTURK-0047,DOĞRU,YETERSİZ VERİ,RET,True,False,True,1,0.8096,False,False,False,False
FACTURK-0048,YALAN,YALAN,UYARI,False,True,True,0,0.9243,False,False,True,False
FACTURK-0049,DOĞRU,DOĞRU,ONAY,False,True,True,0,0.6567,False,False,False,False
FACTURK-0050,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.9404,False,False,False,False
FACTURK-0051,YALAN,DOĞRU,ONAY,False,False,True,0,0.5034,False,False,False,False
FACTURK-0052,DOĞRU,YETERSİZ VERİ,RET,True,False,True,0,0.8442,False,False,False,False
FACTURK-0053,DOĞRU,DOĞRU,ONAY,False,True,True,1,0.9121,False,False,True,False
FACTURK-0054,YALAN,YETERSİZ VERİ,RET,True,False,True,1,0.8257,False,False,False,False
FACTURK-0055,DOĞRU,DOĞRU,ONAY,False,True,True,1,0.9331,False,False,True,False
FACTURK-0056,YALAN,YALAN,RED,False,True,True,1,0.646,False,False,False,False
FACTURK-0057,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.7666,False,False,False,False
FACTURK-0058,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.8623,False,False,False,False
FACTURK-0059,YALAN,YALAN,UYARI,False,True,True,1,0.6221,False,False,False,False
FACTURK-0060,YALAN,YALAN,UYARI,False,True,True,1,0.8662,False,False,False,True
FACTURK-0061,DOĞRU,YETERSİZ VERİ,RET,True,False,True,0,0.8921,False,False,False,False
FACTURK-0062,YALAN,YETERSİZ VERİ,RET,True,False,True,1,0.5742,False,False,False,False
FACTURK-0063,YALAN,YETERSİZ VERİ,RET,True,False,True,1,0.7432,False,False,False,False
FACTURK-0064,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.9487,False,False,False,False
FACTURK-0065,DOĞRU,DOĞRU,ONAY,False,True,True,0,0.873,False,False,False,True
FACTURK-0066,DOĞRU,YETERSİZ VERİ,RET,True,False,True,1,0.9155,False,False,False,False
FACTURK-0067,YALAN,YALAN,UYARI,False,True,True,1,0.6479,False,False,False,False
FACTURK-0068,YALAN,YETERSİZ VERİ,RET,True,False,True,0,0.8672,False,False,False,False
FACTURK-0069,DOĞRU,DOĞRU,ONAY,False,True,True,1,0.9941,False,False,True,False
FACTURK-0070,DOĞRU,YETERSİZ VERİ,RET,True,False,True,0,0.8359,False,False,False,False
FACTURK-0071,YALAN,YALAN,RED,False,True,True,0,0.5288,False,False,False,False
