claim_id,annotator,label,confidence,notes
G0001,A1,1,HIGH,
G0001,A2,1,HIGH,
G0001,A3,1,HIGH,
G0002,A1,1,HIGH,
G0002,A2,1,HIGH,
G0002,A3,1,HIGH,
G0003,A1,1,HIGH,
G0003,A2,1,HIGH,
G0003,A3,1,HIGH,
G0004,A1,1,HIGH,
G0004,A2,1,HIGH,
G0004,A3,1,HIGH,
G0005,A1,0,HIGH,
G0005,A2,0,HIGH,
G0005,A3,0,HIGH,
G0006,A1,0,HIGH,
G0006,A2,0,HIGH,
G0006,A3,0,HIGH,
G0007,A1,1,HIGH,
G0007,A2,1,HIGH,
G0007,A3,1,HIGH,
G0008,A1,1,HIGH,
G0008,A2,1,HIGH,
G0008,A3,1,HIGH,
G0009,A1,0,HIGH,
G0009,A2,0,HIGH,
G0009,A3,0,HIGH,
G0010,A1,1,HIGH,
G0010,A2,1,HIGH,
G0010,A3,1,HIGH,
G0011,A1,0,HIGH,
G0011,A2,0,HIGH,
G0011,A3,0,HIGH,
G0012,A1,0,HIGH,
G0012,A2,0,HIGH,
G0012,A3,0,HIGH,
G0013,A1,0,HIGH,
G0013,A2,0,HIGH,
G0013,A3,0,HIGH,
G0014,A1,1,HIGH,
G0014,A2,1,HIGH,
G0014,A3,1,HIGH,
G0015,A1,0,HIGH,
G0015,A2,0,HIGH,
G0015,A3,0,HIGH,
G0016,A1,0,HIGH,
G0016,A2,0,HIGH,
G0016,A3,0,HIGH,
G0017,A1,1,HIGH,
G0017,A2,1,HIGH,
G0017,A3,1,HIGH,
G0018,A1,1,HIGH,
G0018,A2,1,HIGH,
G0018,A3,1,HIGH,
G0019,A1,1,HIGH,
G0019,A2,1,HIGH,
G0019,A3,1,HIGH,
G0020,A1,1,HIGH,
G0020,A2,1,HIGH,
G0020,A3,1,HIGH,
G0021,A1,0,HIGH,
G0021,A2,0,HIGH,
G0021,A3,0,HIGH,
G0022,A1,0,HIGH,
G0022,A2,0,HIGH,
G0022,A3,0,HIGH,
G0023,A1,1,HIGH,
G0023,A2,1,HIGH,
G0023,A3,1,HIGH,
G0024,A1,1,HIGH,
G0024,A2,1,HIGH,
G0024,A3,1,HIGH,
G0025,A1,0,HIGH,
G0025,A2,0,HIGH,
G0025,A3,0,HIGH,
G0026,A1,0,HIGH,
G0026,A2,0,HIGH,
G0026,A3,0,HIGH,
G0027,A1,0,HIGH,
G0027,A2,0,HIGH,
G0027,A3,0,HIGH,
G0028,A1,0,HIGH,
G0028,A2,0,HIGH,
G0028,A3,0,HIGH,
G0029,A1,1,HIGH,
G0029,A2,1,HIGH,
G0029,A3,1,HIGH,
G0030,A1,1,HIGH,
G0030,A2,1,HIGH,
G0030,A3,1,HIGH,
G0031,A1,1,HIGH,
G0031,A2,1,HIGH,
G0031,A3,1,HIGH,
G0032,A1,1,HIGH,
G0032,A2,1,HIGH,
G0032,A3,1,HIGH,
G0033,A1,1,HIGH,
G0033,A2,1,HIGH,
G0033,A3,1,HIGH,
G0034,A1,1,HIGH,
G0034,A2,1,HIGH,
G0034,A3,1,HIGH,
G0035,A1,1,HIGH,
G0035,A2,1,HIGH,
G0035,A3,1,HIGH,
G0036,A1,1,HIGH,
G0036,A2,1,HIGH,
G0036,A3,1,HIGH,
G0037,A1,0,HIGH,
G0037,A2,0,HIGH,
G0037,A3,0,HIGH,
G0038,A1,0,HIGH,
G0038,A2,0,HIGH,
G0038,A3,0,HIGH,
G0039,A1,1,HIGH,
G0039,A2,1,HIGH,
G0039,A3,1,HIGH,
G0040,A1,1,MEDIUM,
G0040,A2,1,MEDIUM,
G0040,A3,0,MEDIUM,unclear_context
G0041,A1,1,MEDIUM,
G0041,A2,1,MEDIUM,
G0041,A3,1,MEDIUM,unclear_context
G0042,A1,1,MEDIUM,
G0042,A2,1,MEDIUM,
G0042,A3,0,MEDIUM,unclear_context
G0043,A1,0,MEDIUM,
G0043,A2,0,MEDIUM,
G0043,A3,0,MEDIUM,unclear_context
G0044,A1,1,MEDIUM,
G0044,A2,1,MEDIUM,
G0044,A3,0,MEDIUM,unclear_context
G0045,A1,1,MEDIUM,
G0045,A2,1,MEDIUM,
