id,text,label,authority,publisher,source_url,label_provenance
1,"Şok iddia! Uzaylılar dün gece Ankara semalarında görüldü, işte görüntüler.",0,0.85,,https://unknown.local/1,unknown
2,"Limonlu su içmek kanseri 3 günde tamamen yok ediyor, doktorlar saklıyor!",0,0.85,,https://unknown.local/2,unknown
3,"Whatsapp bu geceden itibaren paralı olacak, bu mesajı 10 kişiye gönderin.",0,0.85,,https://unknown.local/3,unknown
4,"Ünlü sanatçı hayatını kaybetti! (Tıklama tuzağı, aslında ölmedi)",0,0.85,,https://unknown.local/4,unknown
5,"Hükümet herkese bedava araba dağıtacakmış, başvurular başladı.",0,0.85,,https://unknown.local/5,unknown
6,Gökten balık yağdı! Bilim insanları şaşkınlık içinde.,0,0.85,,https://unknown.local/6,unknown
7,"Gizli dünya devleti, nüfusu azaltmak için sulara ilaç karıştırıyor.",0,0.85,,https://unknown.local/7,unknown
8,"Mars'ta insan iskeleti bulundu, NASA görüntüleri sildi.",0,0.85,,https://unknown.local/8,unknown
9,"Bu kürü yaparsanız 1 haftada 20 kilo verirsiniz, garanti yöntem.",0,0.85,,https://unknown.local/9,unknown
10,"Elektrik faturaları artık ödenmeyecek, yeni kararname sızdı!",0,0.85,,https://unknown.local/10,unknown
11,Japon bilim insanları açıkladı: İnsanlar aslında simülasyonda yaşıyor!,0,0.85,,https://unknown.local/11,unknown
12,"Banka hesaplarına gizlice para yatırılıyor, hemen kontrol edin!",0,0.85,,https://unknown.local/12,unknown
13,"Bu meyveyi yiyen bir daha asla hasta olmuyor, eczaneler kapatılacak.",0,0.85,,https://unknown.local/13,unknown
14,"5G direkleri virüs yayıyor, mahallenizdeki direkleri kontrol edin.",0,0.85,,https://unknown.local/14,unknown
15,"Emeklilere her ay 50 bin TL ikramiye verilecekmiş, resmi açıklama yok ama kesin bilgi.",0,0.85,,https://unknown.local/15,unknown
16,Ünlü futbolcu uzaylılar tarafından kaçırıldığını iddia etti.,0,0.85,,https://unknown.local/16,unknown
17,"Dünya aslında düzdür, NASA fotoğrafları photoshop ile yapıyor.",0,0.85,,https://unknown.local/17,unknown
18,Evinizdeki kediler aslında sizi izleyen ajan robotlar olabilir!,0,0.85,,https://unknown.local/18,unknown
19,Telefonunuzu mikrodalgaya koyarsanız şarjı 1 hafta gidiyor.,0,0.85,,https://unknown.local/19,unknown
20,"Maden suyu içmek kemikleri eritiyor, sakın içmeyin!",0,0.85,,https://unknown.local/20,unknown
21,Tarihi eser kaçakçıları piramitlerin altında zaman makinesi buldu.,0,0.85,,https://unknown.local/21,unknown
22,"Kola içmek DNA'nızı değiştiriyor, insanlıktan çıkabilirsiniz.",0,0.85,,https://unknown.local/22,unknown
23,Facebook profilinize bunu yazmazsanız tüm fotoğraflarınız halka açık olacak.,0,0.85,,https://unknown.local/23,unknown
24,"Devlet herkese bedava iPhone dağıtacakmış, sıraya girin!",0,0.85,,https://unknown.local/24,unknown
25,"Yarın internet tamamen kesilecek, bir daha gelmeyecek.",0,0.85,,https://unknown.local/25,unknown
26,"Japonya'daki yeni maglev trenleri, yerçekimine karşı gelen uzaylı teknolojileri kullanılarak üretildiğinden saatte 5000 kilometreye ulaşıyor.",0,0.85,,https://unknown.local/26,unknown
27,Jüpiter gezegeninde yakın zamanda insan yaşamına uygun oksijen dolu ormanlık bir alan tespit edildi.,0,0.85,,https://unknown.local/27,unknown
